quadkey	wkt
24131214	POLYGON ((98.61328125 7.998046875, 98.61328125 8.0859375, 98.701171875 8.0859375, 98.701171875 7.998046875, 98.61328125 7.998046875))
24131215	POLYGON ((98.701171875 7.998046875, 98.701171875 8.0859375, 98.7890625 8.0859375, 98.7890625 7.998046875, 98.701171875 7.998046875))
24131226	POLYGON ((98.7890625 7.998046875, 98.7890625 8.0859375, 98.876953125 8.0859375, 98.876953125 7.998046875, 98.7890625 7.998046875))
24131227	POLYGON ((98.876953125 7.998046875, 98.876953125 8.0859375, 98.96484375 8.0859375, 98.96484375 7.998046875, 98.876953125 7.998046875))
24131530	POLYGON ((100.546875 7.998046875, 100.546875 8.0859375, 100.634765625 8.0859375, 100.634765625 7.998046875, 100.546875 7.998046875))
24131232	POLYGON ((98.4375 8.0859375, 98.4375 8.173828125, 98.525390625 8.173828125, 98.525390625 8.0859375, 98.4375 8.0859375))
24131233	POLYGON ((98.525390625 8.0859375, 98.525390625 8.173828125, 98.61328125 8.173828125, 98.61328125 8.0859375, 98.525390625 8.0859375))
24131236	POLYGON ((98.61328125 8.0859375, 98.61328125 8.173828125, 98.701171875 8.173828125, 98.701171875 8.0859375, 98.61328125 8.0859375))
24131237	POLYGON ((98.701171875 8.0859375, 98.701171875 8.173828125, 98.7890625 8.173828125, 98.7890625 8.0859375, 98.701171875 8.0859375))
24131552	POLYGON ((100.546875 8.0859375, 100.546875 8.173828125, 100.634765625 8.173828125, 100.634765625 8.0859375, 100.546875 8.0859375))
24131554	POLYGON ((100.546875 8.173828125, 100.546875 8.26171875, 100.634765625 8.26171875, 100.634765625 8.173828125, 100.546875 8.173828125))
24131560	POLYGON ((100.546875 8.26171875, 100.546875 8.349609375, 100.634765625 8.349609375, 100.634765625 8.26171875, 100.546875 8.26171875))
24131562	POLYGON ((100.546875 8.349609375, 100.546875 8.4375, 100.634765625 8.4375, 100.634765625 8.349609375, 100.546875 8.349609375))
24132928	POLYGON ((100.546875 8.4375, 100.546875 8.525390625, 100.634765625 8.525390625, 100.634765625 8.4375, 100.546875 8.4375))
24132930	POLYGON ((100.546875 8.525390625, 100.546875 8.61328125, 100.634765625 8.61328125, 100.634765625 8.525390625, 100.546875 8.525390625))
24132936	POLYGON ((100.546875 8.61328125, 100.546875 8.701171875, 100.634765625 8.701171875, 100.634765625 8.61328125, 100.546875 8.61328125))
24132938	POLYGON ((100.546875 8.701171875, 100.546875 8.7890625, 100.634765625 8.7890625, 100.634765625 8.701171875, 100.546875 8.701171875))
24131956	POLYGON ((98.26171875 8.7890625, 98.26171875 8.876953125, 98.349609375 8.876953125, 98.349609375 8.7890625, 98.26171875 8.7890625))
24132960	POLYGON ((100.546875 8.7890625, 100.546875 8.876953125, 100.634765625 8.876953125, 100.634765625 8.7890625, 100.546875 8.7890625))
24132962	POLYGON ((100.546875 8.876953125, 100.546875 8.96484375, 100.634765625 8.96484375, 100.634765625 8.876953125, 100.546875 8.876953125))
24131964	POLYGON ((98.26171875 8.96484375, 98.26171875 9.052734375, 98.349609375 9.052734375, 98.349609375 8.96484375, 98.26171875 8.96484375))
24132968	POLYGON ((100.546875 8.96484375, 100.546875 9.052734375, 100.634765625 9.052734375, 100.634765625 8.96484375, 100.546875 8.96484375))
24131966	POLYGON ((98.26171875 9.052734375, 98.26171875 9.140625, 98.349609375 9.140625, 98.349609375 9.052734375, 98.26171875 9.052734375))
24132970	POLYGON ((100.546875 9.052734375, 100.546875 9.140625, 100.634765625 9.140625, 100.634765625 9.052734375, 100.546875 9.052734375))
24132052	POLYGON ((98.26171875 9.140625, 98.26171875 9.228515625, 98.349609375 9.228515625, 98.349609375 9.140625, 98.26171875 9.140625))
24132804	POLYGON ((99.31640625 9.140625, 99.31640625 9.228515625, 99.404296875 9.228515625, 99.404296875 9.140625, 99.31640625 9.140625))
