quadkey	wkt
24131026	POLYGON ((100.8984375 6.416015625, 100.8984375 6.50390625, 100.986328125 6.50390625, 100.986328125 6.416015625, 100.8984375 6.416015625))
24131027	POLYGON ((100.986328125 6.416015625, 100.986328125 6.50390625, 101.07421875 6.50390625, 101.07421875 6.416015625, 100.986328125 6.416015625))
24131030	POLYGON ((101.07421875 6.416015625, 101.07421875 6.50390625, 101.162109375 6.50390625, 101.162109375 6.416015625, 101.07421875 6.416015625))
24131031	POLYGON ((101.162109375 6.416015625, 101.162109375 6.50390625, 101.25 6.50390625, 101.25 6.416015625, 101.162109375 6.416015625))
24141954	POLYGON ((101.25 6.416015625, 101.25 6.50390625, 101.337890625 6.50390625, 101.337890625 6.416015625, 101.25 6.416015625))
24141955	POLYGON ((101.337890625 6.416015625, 101.337890625 6.50390625, 101.42578125 6.50390625, 101.42578125 6.416015625, 101.337890625 6.416015625))
24141958	POLYGON ((101.42578125 6.416015625, 101.42578125 6.50390625, 101.513671875 6.50390625, 101.513671875 6.416015625, 101.42578125 6.416015625))
24141959	POLYGON ((101.513671875 6.416015625, 101.513671875 6.50390625, 101.6015625 6.50390625, 101.6015625 6.416015625, 101.513671875 6.416015625))
24141970	POLYGON ((101.6015625 6.416015625, 101.6015625 6.50390625, 101.689453125 6.50390625, 101.689453125 6.416015625, 101.6015625 6.416015625))
24141971	POLYGON ((101.689453125 6.416015625, 101.689453125 6.50390625, 101.77734375 6.50390625, 101.77734375 6.416015625, 101.689453125 6.416015625))
24141974	POLYGON ((101.77734375 6.416015625, 101.77734375 6.50390625, 101.865234375 6.50390625, 101.865234375 6.416015625, 101.77734375 6.416015625))
24141975	POLYGON ((101.865234375 6.416015625, 101.865234375 6.50390625, 101.953125 6.50390625, 101.953125 6.416015625, 101.865234375 6.416015625))
24130760	POLYGON ((99.140625 6.50390625, 99.140625 6.591796875, 99.228515625 6.591796875, 99.228515625 6.50390625, 99.140625 6.50390625))
24130761	POLYGON ((99.228515625 6.50390625, 99.228515625 6.591796875, 99.31640625 6.591796875, 99.31640625 6.50390625, 99.228515625 6.50390625))
24130764	POLYGON ((99.31640625 6.50390625, 99.31640625 6.591796875, 99.404296875 6.591796875, 99.404296875 6.50390625, 99.31640625 6.50390625))
24130765	POLYGON ((99.404296875 6.50390625, 99.404296875 6.591796875, 99.4921875 6.591796875, 99.4921875 6.50390625, 99.404296875 6.50390625))
24130777	POLYGON ((99.580078125 6.50390625, 99.580078125 6.591796875, 99.66796875 6.591796875, 99.66796875 6.50390625, 99.580078125 6.50390625))
24130780	POLYGON ((99.66796875 6.50390625, 99.66796875 6.591796875, 99.755859375 6.591796875, 99.755859375 6.50390625, 99.66796875 6.50390625))
24130781	POLYGON ((99.755859375 6.50390625, 99.755859375 6.591796875, 99.84375 6.591796875, 99.84375 6.50390625, 99.755859375 6.50390625))
24130952	POLYGON ((99.84375 6.50390625, 99.84375 6.591796875, 99.931640625 6.591796875, 99.931640625 6.50390625, 99.84375 6.50390625))
24130953	POLYGON ((99.931640625 6.50390625, 99.931640625 6.591796875, 100.01953125 6.591796875, 100.01953125 6.50390625, 99.931640625 6.50390625))
24130956	POLYGON ((100.01953125 6.50390625, 100.01953125 6.591796875, 100.107421875 6.591796875, 100.107421875 6.50390625, 100.01953125 6.50390625))
24130957	POLYGON ((100.107421875 6.50390625, 100.107421875 6.591796875, 100.1953125 6.591796875, 100.1953125 6.50390625, 100.107421875 6.50390625))
24130969	POLYGON ((100.283203125 6.50390625, 100.283203125 6.591796875, 100.37109375 6.591796875, 100.37109375 6.50390625, 100.283203125 6.50390625))
24130972	POLYGON ((100.37109375 6.50390625, 100.37109375 6.591796875, 100.458984375 6.591796875, 100.458984375 6.50390625, 100.37109375 6.50390625))
24130973	POLYGON ((100.458984375 6.50390625, 100.458984375 6.591796875, 100.546875 6.591796875, 100.546875 6.50390625, 100.458984375 6.50390625))
24131016	POLYGON ((100.546875 6.50390625, 100.546875 6.591796875, 100.634765625 6.591796875, 100.634765625 6.50390625, 100.546875 6.50390625))
24131017	POLYGON ((100.634765625 6.50390625, 100.634765625 6.591796875, 100.72265625 6.591796875, 100.72265625 6.50390625, 100.634765625 6.50390625))
24131020	POLYGON ((100.72265625 6.50390625, 100.72265625 6.591796875, 100.810546875 6.591796875, 100.810546875 6.50390625, 100.72265625 6.50390625))
24131021	POLYGON ((100.810546875 6.50390625, 100.810546875 6.591796875, 100.8984375 6.591796875, 100.8984375 6.50390625, 100.810546875 6.50390625))
24131032	POLYGON ((100.8984375 6.50390625, 100.8984375 6.591796875, 100.986328125 6.591796875, 100.986328125 6.50390625, 100.8984375 6.50390625))
24131033	POLYGON ((100.986328125 6.50390625, 100.986328125 6.591796875, 101.07421875 6.591796875, 101.07421875 6.50390625, 100.986328125 6.50390625))
24131036	POLYGON ((101.07421875 6.50390625, 101.07421875 6.591796875, 101.162109375 6.591796875, 101.162109375 6.50390625, 101.07421875 6.50390625))
24131037	POLYGON ((101.162109375 6.50390625, 101.162109375 6.591796875, 101.25 6.591796875, 101.25 6.50390625, 101.162109375 6.50390625))
24141960	POLYGON ((101.25 6.50390625, 101.25 6.591796875, 101.337890625 6.591796875, 101.337890625 6.50390625, 101.25 6.50390625))
24141961	POLYGON ((101.337890625 6.50390625, 101.337890625 6.591796875, 101.42578125 6.591796875, 101.42578125 6.50390625, 101.337890625 6.50390625))
24141964	POLYGON ((101.42578125 6.50390625, 101.42578125 6.591796875, 101.513671875 6.591796875, 101.513671875 6.50390625, 101.42578125 6.50390625))
24141965	POLYGON ((101.513671875 6.50390625, 101.513671875 6.591796875, 101.6015625 6.591796875, 101.6015625 6.50390625, 101.513671875 6.50390625))
24141976	POLYGON ((101.6015625 6.50390625, 101.6015625 6.591796875, 101.689453125 6.591796875, 101.689453125 6.50390625, 101.6015625 6.50390625))
24141977	POLYGON ((101.689453125 6.50390625, 101.689453125 6.591796875, 101.77734375 6.591796875, 101.77734375 6.50390625, 101.689453125 6.50390625))
